id,sentiment
"12311_10",0.9863318800926208
"8348_2",0.044238846749067307
"5828_4",0.7217279672622681
"7186_2",0.17918285727500916
"12128_7",0.8822280764579773
"2913_8",0.4796954095363617
"4396_1",0.041535913944244385
"395_2",0.3952063322067261
"10616_1",0.01762395165860653
"9074_9",0.5661588907241821
"9252_3",0.10596879571676254
"9896_9",0.3648323118686676
"574_4",0.6391408443450928
"11182_8",0.6650612354278564
"11656_4",0.6166371703147888
"2322_4",0.4510789215564728
"8703_1",0.08499830216169357
"7483_1",0.19715441763401031
"6007_10",0.9624117016792297
"12424_4",0.026124998927116394
"4672_1",0.009239689446985722
"10841_3",0.060101620852947235
"8954_7",0.45175454020500183
"7392_1",0.0299629308283329
"10288_8",0.8878148198127747
"5343_4",0.01627936214208603
"4950_1",0.004137513227760792
"9257_4",0.5609167218208313
"8689_3",0.016412505879998207
"4480_2",0.1273380070924759
"9286_10",0.9617600440979004
"12245_10",0.9921491146087646
"7529_7",0.8190814256668091
"4_4",0.128882497549057
"5299_2",0.37703076004981995
"12077_8",0.9204866886138916
"10701_2",0.0056856595911085606
"11579_1",0.09887968748807907
"10993_1",0.09886977821588516
"8913_1",0.03934628888964653
"1350_3",0.061764203011989594
"3804_2",0.04089384526014328
"5025_3",0.5294339060783386
"5170_8",0.24748952686786652
"8225_8",0.7717655897140503
"6427_7",0.8676097989082336
"3165_3",0.19082894921302795
"7902_9",0.9832907915115356
"8208_3",0.020805448293685913
"3577_8",0.8668142557144165
"4865_1",0.03226333484053612
"9063_3",0.10554705560207367
"1106_1",0.30267134308815
"1117_9",0.8925828337669373
"1050_4",0.1525917649269104
"10755_9",0.5550934672355652
"2729_8",0.8425276279449463
"10072_10",0.8829604983329773
"2904_7",0.9570876359939575
"4584_2",0.35720497369766235
"189_4",0.6234860420227051
"6302_4",0.08562888205051422
"8138_9",0.9083794355392456
"1262_1",0.1195753738284111
"2199_10",0.9551615715026855
"6551_7",0.5495951175689697
"8082_7",0.804917573928833
"4897_8",0.9270815253257751
